koordinate_merenjastanica,North,East,H,mmperm2
Markovac,45.15,21.4788889,140,720
Martinci,45.0108333,19.4675,82,649.7
Martonoö,46.1138889,20.0638889,83,551.8
Meda,45.5358333,20.8125,80,597.6
Medveda,42.8416667,21.5911111,420,678.5
Melaje,43.1133333,20.2936111,980,745.2
Melenci,45.5152778,20.3211111,80,593.5
Melnica,44.3916667,21.5377778,240,714.5
Metovnica,43.9561111,22.1461111,195,676.2
Midûor,43.395,22.6830556,2170,1200
Mihajlovac,44.3716667,22.5019444,50,680.3
Milentija,43.435,20.9944444,500,675.1
Miljkovac,43.4302778,21.8644444,225,662.1
Miloöevo(Bagrdan),44.1052778,21.1613889,115,696.1
Milutinovac,44.555,22.6083333,50,680.4
Minicevo,43.6830556,22.2977778,185,555.9
Mionica,44.2522222,20.0872222,180,824
Miraö,42.4483333,21.2294444,590,637.2
Miroc(pl.),44.5922222,22.2847222,768,960
Miroc(s.),44.4783333,22.2569444,480,800
Miöljenovac,44.5388889,21.5736111,130,668.4
Mladenovac,44.4408333,20.6980556,175,614
Mladenovo,45.2866667,19.3041667,80,690
Mojsinje,43.8897222,20.4763889,287,666.1
MokraGora(Kosovo),42.8313889,20.3677778,2154,1400
MokraGora(Kremna),43.7905556,19.5113889,550,789.5
Mokrapl.,42.6894444,20.0083333,2112,1535
Mokranje,44.1561111,22.5519444,80,662
Mokrin,45.9347222,20.4175,85,558.4
Morovic,45.0069444,19.2497222,85,690
Moöorin,45.3,20.1836111,80,569
Mozgovo,43.6580556,21.6594444,330,754
Mramor,42.6608333,21.2961111,722,634.8
Mramorak,44.8808333,21.0016667,110,595
Mratiöici,44.1830556,19.9530556,438,879.8
Mrtvica,42.7822222,22.0791667,560,754.7
Mucanj,43.5452778,20.04,1534,1200
Mukate,42.6105556,21.3233333,700,606.6
Muöika-Marovce,42.6816667,21.6633333,880,610
Muöutiöte,42.2975,20.8936111,595,828
Nadalj,45.5091667,19.9280556,80,562.9
Nadrljan,45.9947222,20.0461111,85,578.4
